Scan,Date,Time,Longitude,Latitude,Depth,Temperature,Salinity
1.5,2011-08-24,04:34:53,50.816,-15.077,0,25.20599937438965,35.07600021362305
1.5,2011-09-03,04:38:45,50.962,-13.758,0,24.85700035095215,35.11899948120117
1.5,2011-09-13,04:34:30,51.142,-14.038,0,24.486499786376953,35.222999572753906
1.5,2011-09-23,04:38:54,52.207,-14.442,0,24.638500213623047,35.1870002746582
1.5,2011-10-03,05:00:01,52.814,-14.649,0,24.74049949645996,35.244998931884766
1.5,2011-10-13,03:41:37,52.808,-15.247,0,24.89449977874756,35.26449966430664
1.5,2011-10-23,04:54:15,52.644,-15.569,0,25.364500045776367,35.332000732421875
1.5,2011-11-02,02:24:55,52.705,-15.917,0,25.78200054168701,35.35499954223633
1.5,2011-11-12,04:55:57,52.998,-16.249,0,26.217000007629395,35.423500061035156
1.5,2011-11-22,02:16:10,53.641,-16.513,0,26.905000686645508,35.584999084472656
1.5,2011-12-02,02:48:37,53.829,-16.334,0,27.302000045776367,35.553001403808594
1.5,2011-12-12,04:57:35,54.237,-15.978,0,27.69700050354004,35.51449966430664
1.5,2011-12-22,04:58:03,54.436,-16.487,0,28.354000091552734,35.6254997253418
1.5,2012-01-01,02:11:35,54.299,-17.104,0,28.684999465942383,35.60200119018555
1.5,2012-01-11,02:17:46,54.294,-17.531,0,28.529000282287598,35.50849914550781
1.5,2012-01-21,04:59:25,54.743,-17.817,0,28.057499885559082,35.45899963378906
1.5,2012-01-31,02:32:41,54.878,-17.546,0,28.21049976348877,35.375999450683594
1.5,2012-02-10,05:01:30,55.276,-16.895,0,29.244999885559082,35.34749984741211
1.5,2012-02-20,04:26:46,55.752,-16.843,0,28.172500610351562,35.414499282836914
1.5,2012-03-01,04:55:28,55.905,-17.283,0,27.08650016784668,35.16849899291992
1.5,2012-03-11,04:58:57,56.093,-17.704,0,27.498499870300293,35.27000045776367
1.5,2012-03-21,02:14:52,56.619,-17.343,0,28.166500091552734,35.32400131225586
1.5,2012-03-31,04:14:02,56.732,-16.289,0,28.64349937438965,35.26300048828125
1.5,2012-04-10,04:57:50,56.672,-15.811,0,28.314000129699707,35.180999755859375
1.5,2012-04-20,05:01:12,56.477,-15.776,0,28.376500129699707,34.859500885009766
1.5,2012-04-30,04:56:35,56.122,-16.054,0,28.206000328063965,35.04249954223633
1.5,2012-05-10,04:58:52,55.876,-16.376,0,27.300000190734863,34.555999755859375
1.5,2012-05-20,02:50:29,55.5,-16.577,0,27.0939998626709,34.87300109863281
1.5,2012-05-30,05:07:39,55.246,-16.79,0,26.30650043487549,34.94200134277344
1.5,2012-06-09,01:58:31,55.104,-16.637,0,25.942500114440918,35.0369987487793
1.5,2012-06-19,02:13:33,54.837,-16.247,0,25.54699993133545,34.96199989318848
1.5,2012-06-29,04:36:29,54.725,-15.781,0,25.13700008392334,34.80799865722656
1.5,2012-07-09,04:41:47,55.122,-15.646,0,24.760000228881836,34.96799850463867
1.5,2012-07-19,05:07:18,55.704,-15.857,0,24.696500778198242,34.98550033569336
1.5,2012-07-29,02:58:38,55.671,-15.78,0,24.553000450134277,34.9119987487793
1.5,2012-08-08,04:50:08,55.448,-15.749,0,24.672500610351563,34.891998291015625
1.5,2012-08-18,02:38:08,55.324,-15.644,0,24.60099983215332,34.90700149536133
1.5,2012-08-28,04:41:34,54.939,-15.292,0,24.71950054168701,35.0935001373291
1.5,2012-09-07,02:33:17,54.298,-14.957,0,24.897500038146973,35.08300018310547
1.5,2012-09-17,02:40:46,53.727,-14.826,0,24.55500030517578,34.80649948120117
1.5,2012-09-27,04:42:15,53.302,-14.827,0,24.63249969482422,34.858001708984375
1.5,2012-10-07,04:39:14,52.856,-14.725,0,25.56350040435791,35.35499954223633
1.5,2012-10-17,04:26:28,52.563,-14.484,0,25.465499877929687,35.27199935913086
1.5,2012-10-27,04:49:58,52.53,-13.892,0,25.553500175476074,35.11800003051758
1.5,2012-11-06,03:06:24,52.312,-13.48,0,26.612000465393066,35.35900115966797
1.5,2012-11-16,04:48:57,52.016,-13.192,0,26.83549976348877,35.28849983215332
1.5,2012-11-26,04:59:13,51.926,-13.069,0,27.667499542236328,35.42100143432617
1.5,2012-12-06,01:51:54,52.299,-13.344,0,27.51650047302246,35.147499084472656
1.5,2012-12-16,04:54:31,52.353,-13.871,0,28.07699966430664,35.13800048828125
1.5,2012-12-26,01:52:33,52.548,-13.934,0,28.50349998474121,35.08300018310547
1.5,2013-01-05,04:51:38,52.714,-13.61,0,27.949999809265137,34.984500885009766
1.5,2013-01-15,02:56:25,52.645,-13.381,0,28.332499504089355,34.95650100708008
1.5,2013-01-25,03:39:09,52.361,-12.997,0,29.44399929046631,34.94949913024902
1.5,2013-02-04,04:34:13,51.942,-12.694,0,28.65499973297119,34.66899871826172
1.5,2013-02-14,04:34:56,51.685,-12.733,0,29.25,34.773000717163086
1.5,2013-02-24,04:55:21,51.594,-12.846,0,29.1875,34.65299987792969
1.5,2013-03-06,05:05:48,51.7,-12.521,0,28.801499366760254,34.73699951171875
1.5,2013-03-16,04:57:04,51.987,-11.891,0,29.1560001373291,34.67850112915039
1.5,2013-03-26,05:10:44,52.15,-11.868,0,29.689499855041504,34.726999282836914
1.5,2013-04-05,02:32:29,52.277,-11.899,0,29.100000381469727,34.75849914550781
1.5,2013-04-15,05:04:57,53.048,-11.589,0,27.94200038909912,34.91400146484375
1.5,2013-04-25,02:18:24,53.763,-11.537,0,27.637999534606934,34.96649932861328
1.5,2013-05-05,02:07:27,53.651,-11.947,0,27.1299991607666,34.992000579833984
1.5,2013-05-15,05:10:18,53.315,-12.656,0,25.908000946044922,34.92100143432617
1.5,2013-05-25,02:16:25,52.981,-13.09,0,25.673500061035156,34.946998596191406
1.5,2013-06-04,04:53:10,53.313,-13.385,0,26.30600070953369,35.27000045776367
1.5,2013-06-14,02:24:41,54.245,-12.899,0,26.47849941253662,34.7135009765625
1.5,2013-06-24,05:12:39,54.085,-12.393,0,25.65000057220459,34.6609992980957
1.5,2013-07-04,03:07:12,53.522,-12.032,0,25.805500030517578,34.70500183105469
1.5,2013-07-14,04:03:54,52.792,-11.842,0,25.532999992370605,35.15250015258789
1.5,2013-07-24,04:46:12,52.104,-11.686,0,25.015000343322754,34.86800003051758
1.5,2013-08-03,04:50:55,51.673,-11.68,0,25.040000915527344,35.17049980163574
1.5,2013-08-13,02:38:31,51.413,-11.861,0,24.902000427246094,35.25899887084961
1.5,2013-08-23,03:34:49,51.422,-12.171,0,24.65149974822998,35.152000427246094
1.5,2013-09-02,17:00:56,51.698,-12.622,0,24.755000114440918,34.70349884033203
1.5,2013-09-12,04:45:33,52.251,-12.643,0,24.609999656677246,34.893001556396484
1.5,2013-09-22,02:11:44,52.335,-12.491,0,25.038000106811523,35.02199935913086
1.5,2013-10-02,02:57:41,52.557,-12.141,0,25.477499961853027,35.07099914550781
1.5,2013-10-12,04:49:40,52.96,-12.265,0,26.006000518798828,35.45899963378906
1.5,2013-10-22,02:34:57,52.888,-12.855,0,26.45699977874756,35.05799865722656
1.5,2013-11-01,04:46:50,52.293,-13.125,0,26.543999671936035,35.08599853515625
1.5,2013-11-11,03:38:41,51.762,-13.311,0,26.942500114440918,35.27449989318848
1.5,2013-11-21,04:44:38,51.587,-13.448,0,27.39050006866455,35.33399963378906
1.5,2013-12-01,02:39:35,51.163,-12.888,0,28.246999740600586,35.4015007019043
1.5,2013-12-11,03:43:42,50.537,-11.934,0,28.6560001373291,35.36249923706055
1.5,2013-12-21,04:49:10,50.806,-11.021,0,29.50100040435791,35.403499603271484
1.5,2013-12-31,04:58:16,50.625,-11.295,0,28.001999855041504,35.000999450683594
1.5,2014-01-10,04:10:28,49.941,-11.444,0,28.204999923706055,34.83300018310547
1.5,2014-01-20,04:49:19,49.107,-11.103,0,28.704999923706055,35.000999450683594
1.5,2014-01-30,04:57:34,47.831,-10.577,0,28.80299949645996,34.609500885009766
1.5,2014-02-09,04:57:38,46.846,-10.664,0,28.20650005340576,34.815500259399414
1.5,2014-02-19,02:33:12,46.298,-10.399,0,28.41849994659424,34.888999938964844
1.5,2014-03-01,05:03:13,46.12,-9.519,0,28.39699935913086,34.74350166320801
1.5,2014-03-11,02:27:20,46.229,-9.699,0,28.483500480651855,34.75
1.5,2014-03-21,05:06:12,46.06,-9.762,0,29.044499397277832,34.77599906921387
1.5,2014-03-31,03:48:13,45.639,-8.806,0,28.974499702453613,34.370500564575195
1.5,2014-04-10,04:59:31,46.013,-8.199,0,29.241000175476074,34.7234992980957
1.5,2014-04-20,02:37:01,46.144,-8.258,0,28.058500289916992,34.750999450683594
1.5,2014-04-30,04:53:59,45.808,-8.108,0,28.199999809265137,34.69499969482422
1.5,2014-05-10,05:07:00,45.046,-7.831,0,27.95800018310547,34.80400085449219
1.5,2014-05-30,04:48:21,42.939,-8.044,0,27.334500312805176,35.125
1.5,2014-06-09,02:30:56,41.461,-8.096,0,26.85599994659424,34.996999740600586
1.5,2014-06-19,04:30:45,40.372,-7.909,0,27.160499572753906,35.00899887084961
1.5,2014-06-29,02:28:53,40.219,-7.096,0,26.21150016784668,35.02349853515625
1.5,2014-07-09,02:56:25,39.951,-5.57,0,26.454999923706055,35.02399826049805
1.5,2014-07-19,02:20:50,39.94,-5.25,0,25.92650032043457,35.23149871826172
1.5,2014-07-29,02:17:52,40.103,-4.577,0,25.849499702453613,35.07600021362305
1.5,2014-08-08,01:59:50,40.251,-3.989,0,25.897000312805176,35.04999923706055
1.5,2014-08-18,01:44:33,40.506,-3.419,0,25.90999984741211,35.066001892089844
NA,2014-08-28,07:52:44,40.748,-2.935,0,NA,NA
1.5,2014-09-07,01:26:42,40.885,-2.781,0,25.50950050354004,35.08300018310547
1.5,2014-09-17,02:52:07,41.433,-2.216,0,25.647000312805176,35.06999969482422
1.5,2014-09-27,03:06:44,41.768,-1.723,0,25.976499557495117,35.153499603271484
1.5,2014-10-07,02:19:51,42.17,-1.233,0,26.15049934387207,35.11800003051758
